IdEvent,Posesion,IdGame,IdTeam,IdFrame,DtGame,IdBallPossession,IdSeason,IdCompetition,IdPeriod,IdEventLocal,IdEventType,NaEventType,IdTeamOwning,TeamName,RivalName,IsHomeTeam,IdHomeTeam,IdAwayTeam,NaHomeTeam,NaAwayTeam,IdPlayer,NaPlayer,NaPosition,Minute,Second,Outcome,x,y,VlOptaX,VlOptaY,end_x,end_y,next_IdTeam,New_Outcome,previous_event,head_info,clearance_info,clean_event,next_event,next_events,QtGoalsHome,QtGoalsAway,DsMatchStatus,IdTeamRival,formacion,formacion_rival,time_seconds,lag_team,mismo_equipo,cambio_de_posesion,Posesion_id,opponents_close_to_cone,opponents_close_to_player,player_distance_received_pass,id_receiving_player,pass_reception_frame,long_ball,cross,head_pass,through_ball,corner_taken,fast_break,own_goal,second_yellow,red_card,blocked,throw_in,goal_kick,chipped,lay_off,launch,assist,length,in_swinger,out_swing,straight,is_loss,is_rec,counterpress_5s_flag,save_id,Blocked_x_co-ordinate,Blocked_y_co-ordinate,Deflection,GK_X_Coordinate,GK_Y_Coordinate,Keeper_Saved,xg,xgot
-219271179334027,2572000_2_82_LaLiga2,2572000,188,1793340,2025-09-28T17:30:00.000Z,1792502-1793546,2025,23,2,null,-27,BallDrive,188,Real Sociedad,Barcelona,0,178,188,Barcelona,Real Sociedad,219271,Takefusa Kubo,Midfielder,62,58,1,null,null,null,null,14.44,43.77,188,1,Pass,null,Foot Clearance,Clean,Pass,Pass | Attempt Saved | Save,2,1,home_winning,178,4141,4231,3778,188,true,0,82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_23_2572000,null,null,null,null,null,null,null,null
2853338145,2571546_2_7_LaLiga2,2571546,5683,1990713,2025-09-28T20:00:00.000Z,1990686-1991157,2025,102,2,392,5,Out,5683,Granada,Huesca,0,2894,5683,Huesca,Granada,482655,Pedro Alemañ,Midfielder,45,30,0,101.2,60.2,1.2000000000000028,39.8,null,null,2894,0,Miss,null,Foot Clearance,Clean,Out,Out | Pass | Pass,0,1,away_winning,2894,433,343,2730,5683,true,0,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571546_392,null,null,null,null,null,null,null,null
2845497095,2571522_2_138_LaLiga2,2571522,5741,1596536,2025-09-13T15:15:00.000Z,1595501-1597841,2025,102,2,592,5,Out,5741,Mirandés,Deportivo de La Coruña,1,5741,180,Mirandés,Deportivo de La Coruña,551319,Salim El Jebari,Forward,69,52,0,100.8,28.4,100.8,28.4,null,null,180,0,Miss,null,Foot Clearance,Clean,Out,Out | Pass | Pass,1,2,away_winning,180,532,352,4192,5741,true,0,138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571522_592,null,null,null,null,null,null,null,null
2865008673,2571588_2_36_LaLiga2,2571588,180,1996451,2025-10-26T20:00:00.000Z,1996385-1998171,2025,102,2,447,1,Pass,180,Deportivo de La Coruña,Real Valladolid,1,180,192,Deportivo de La Coruña,Real Valladolid,437774,Arnau Comas,Defender,51,18,1,25.0,24.0,25.0,24.0,27.3,54.9,180,1,Pass,null,Foot Clearance,Clean,BallDrive,BallDrive | Pass | Pass,0,1,away_winning,192,532,442,3078,180,true,0,36,0,0,6.42608,429213,1996495,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.2,null,null,null,false,false,0,2025_102_2571588_447,null,null,null,null,null,null,null,null
2865027859,2571588_2_230_LaLiga2,2571588,180,2050467,2025-10-26T20:00:00.000Z,2050399-2052234,2025,102,2,808,5,Out,180,Deportivo de La Coruña,Real Valladolid,1,180,192,Deportivo de La Coruña,Real Valladolid,488042,Mario Soriano,Midfielder,87,17,0,100.6,49.0,100.6,49.0,null,null,192,0,Out,null,Foot Clearance,Clean,Formation change,Formation change | Pass | BallDrive,0,1,away_winning,192,532,442,5237,180,true,0,230,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571588_808,null,null,null,null,null,null,null,null
-561303199041427,2571546_2_7_LaLiga2,2571546,5683,1990414,2025-09-28T20:00:00.000Z,1990166-1990659,2025,102,2,null,-27,BallDrive,5683,Granada,Huesca,0,2894,5683,Huesca,Granada,561303,Pau Casadesús,Defender,45,18,1,null,null,null,null,34.32,41.22,5683,1,Attempted Tackle,null,Foot Clearance,Clean,Pass,Pass | Pass | BallDrive,0,1,away_winning,2894,433,343,2718,5683,true,0,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571546,null,null,null,null,null,null,null,null
2865031391,2571588_2_270_LaLiga2,2571588,180,2059592,2025-10-26T20:00:00.000Z,2059589-2066616,2025,102,2,863,43,Deleted event,180,Deportivo de La Coruña,Real Valladolid,1,180,192,Deportivo de La Coruña,Real Valladolid,429213,Miguel Loureiro,Defender,93,22,1,0.0,0.0,0.0,0.0,null,null,192,1,Deleted event,null,Foot Clearance,Clean,Deleted event,Deleted event | Contentious referee decision | Start delay,0,1,away_winning,192,532,442,5602,192,false,1,270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571588_863,null,null,null,null,null,null,null,null
2845490465,2571522_2_128_LaLiga2,2571522,5741,1592347,2025-09-13T15:15:00.000Z,1591820-1593391,2025,102,2,565,1,Pass,5741,Mirandés,Deportivo de La Coruña,1,5741,180,Mirandés,Deportivo de La Coruña,608543,Marino Illescas,Midfielder,67,3,1,65.0,75.2,65.0,75.2,79.9,91.6,5741,1,BallDrive,null,Foot Clearance,Clean,Pass,Pass | Goal | Formation change,0,2,away_winning,180,532,352,4023,5741,true,0,128,2,1,8.14705,551319,1592380,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.2,null,null,null,false,false,0,2025_102_2571522_565,null,null,null,null,null,null,null,null
2853229769,2572000_2_82_LaLiga2,2572000,188,1792539,2025-09-28T17:30:00.000Z,1792502-1793546,2025,23,2,398,1,Pass,188,Real Sociedad,Barcelona,0,178,188,Barcelona,Real Sociedad,547455,Pablo Marín,Midfielder,62,27,1,69.5,29.1,30.5,70.9,65.4,22.1,188,1,Pass,null,Foot Clearance,Clean,Pass,Pass | Ball recovery | Pass,2,1,home_winning,178,4141,4231,3747,188,true,0,82,0,0,2.05,219271,1792555,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6.4,null,null,null,false,false,0,2025_23_2572000_398,null,null,null,null,null,null,null,null
2865008605,2571588_2_36_LaLiga2,2571588,180,1996367,2025-10-26T20:00:00.000Z,1996385-1998171,2025,102,2,446,1,Pass,180,Deportivo de La Coruña,Real Valladolid,1,180,192,Deportivo de La Coruña,Real Valladolid,543316,Lucas Noubi,Defender,51,15,1,36.0,0.0,36.0,0.0,24.4,14.7,180,1,Out,null,Foot Clearance,Clean,Pass,Pass | BallDrive | Pass,0,1,away_winning,192,532,442,3075,180,true,0,36,0,0,1.86132,437774,1996403,null,null,null,null,null,null,null,null,null,null,-1,null,null,null,null,null,16.7,null,null,null,false,false,0,2025_102_2571588_446,null,null,null,null,null,null,null,null
